UserID,ItemID, Rating,DrivingStyle,landscape,mood,naturalphenomena ,RoadType,sleepiness,trafficConditions,weather
1001,715,2,,,,,,,,sunny
1001,267,4,,,,,,,,sunny
1001,294,2,,,,,,,,sunny
1001,259,4,,,,,,,,snowing
1001,674,2,,,,,,,,rainy
1001,674,2,,,,,,,,cloudy
1001,259,4,,,,,,,,cloudy
1001,715,2,,,,,,,traffic jam,
1001,285,4,,,,,,,lots of cars,
1001,279,2,,,,,,sleepy,,
1001,754,2,,,,,,sleepy,,
1001,694,4,,,,,,awake,,
1001,251,2,,,,,,awake,,
1001,279,2,,,,,,awake,,
1001,267,4,,,,,city,,,
1001,285,4,,,,night,,,,
1001,279,4,,,,night,,,,
1001,285,4,,,,morning,,,,
1001,754,2,,,,morning,,,,
1001,715,3,,,sad,,,,,
1001,694,0,,,lazy,,,,,
1001,294,2,,,lazy,,,,,
1001,251,3,,,active,,,,,
1001,251,2,,urban,,,,,,
1001,294,4,,mountains,,,,,,
1001,674,3,,mountains,,,,,,
1001,267,4,,country side,,,,,,
1001,694,4,,coast line,,,,,,
1001,754,2,relaxed driving,,,,,,,
1001,259,4,relaxed driving,,,,,,,
1001,259,1,,,,,,,,
1001,694,5,,,,,,,,
1001,267,4,,,,,,,,
1001,251,2,,,,,,,,
1001,715,1,,,,,,,,
1001,285,4,,,,,,,,
1001,674,4,,,,,,,,
1001,294,2,,,,,,,,
1001,279,4,,,,,,,,
1001,754,2,,,,,,,,
1002,279,1,,,,,,,,sunny
1002,250,1,,,,,,,,sunny
1002,702,3,,,,,,,,sunny
1002,714,1,,,,,,,,snowing
1002,762,3,,,,,,,,snowing
1002,275,3,,,,,,,,snowing
1002,295,5,,,,,,,,snowing
1002,757,1,,,,,,,,snowing
1002,727,1,,,,,,,,snowing
1002,715,5,,,,,,,,rainy
1002,256,1,,,,,,,,rainy
1002,702,4,,,,,,,,rainy
1002,726,4,,,,,,,,rainy
1002,730,3,,,,,,,,rainy
1002,715,3,,,,,,,,cloudy
1002,251,3,,,,,,,,cloudy
1002,762,1,,,,,,,traffic jam,
1002,718,1,,,,,,,traffic jam,
1002,256,1,,,,,,,traffic jam,
1002,745,2,,,,,,,traffic jam,
1002,263,5,,,,,,,traffic jam,
1002,757,1,,,,,,,traffic jam,
1002,295,2,,,,,,,traffic jam,
1002,732,1,,,,,,,traffic jam,
1002,718,1,,,,,,,lots of cars,
1002,683,3,,,,,,,lots of cars,
1002,751,3,,,,,,,lots of cars,
1002,250,1,,,,,,,free road,
1002,718,2,,,,,,,free road,
1002,757,1,,,,,,,free road,
1002,732,1,,,,,,,free road,
1002,751,1,,,,,,,free road,
1002,719,1,,,,,serpentine,,,
